,Year,Period,State,State ANSI,Data Item,Value
1002,1997,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.82
961,1998,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.31
920,1999,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.26
879,2000,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.16
838,2001,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.35
797,2002,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.72
756,2003,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.36
715,2004,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.48
674,2005,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.5
633,2006,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.91
592,2007,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.54
551,2008,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.26
510,2009,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.89
469,2010,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.07
428,2011,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.32
387,2012,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.18
346,2013,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.71
305,2014,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.75
264,2015,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
223,2016,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.63
173,2017,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.04
123,2018,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
82,2019,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.99
41,2020,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.14
0,2021,MARKETING YEAR,ALABAMA,1,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.9
1003,1997,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.2
962,1998,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.75
921,1999,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.72
880,2000,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.78
839,2001,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.79
798,2002,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.14
757,2003,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.28
716,2004,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.03
675,2005,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.18
634,2006,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.37
593,2007,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.03
552,2008,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.8
511,2009,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.14
470,2010,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.8
429,2011,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.78
388,2012,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.84
347,2013,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.89
306,2014,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.36
265,2015,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.98
224,2016,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.73
175,2017,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.55
125,2018,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.96
83,2019,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.4
42,2020,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.4
1,2021,MARKETING YEAR,ARIZONA,4,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.6
1004,1997,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.51
963,1998,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.85
922,1999,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.74
881,2000,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.75
840,2001,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.02
799,2002,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.43
758,2003,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.37
717,2004,MARKETING YEAR,ARKANSAS,5,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.39
